ShiftRepNr_TillNo_1,StoreID,DayRepNr,ShiftRepNr_TillNo_2,T1TillID,T2TillID,T1OptrID,T2OptrID,T1POS,T2POS
322,4302,131,322,11,12,2115,2417,1,2
150,4303,132,323,11,12,2116,2418,1,2
149,4304,131,322,11,12,2117,2419,1,2
149,4305,131,322,11,12,2118,2420,1,2
149,4306,131,322,11,12,2119,2421,1,2
149,4307,131,322,11,12,2120,2422,1,2
149,4308,131,322,11,12,2121,2423,1,2
149,4309,131,322,11,12,2122,2424,1,2
149,4310,131,322,11,12,2123,2425,1,2
149,4311,131,322,11,12,2124,2426,1,2
149,4312,131,322,11,12,2125,2427,1,2
149,4313,131,322,11,12,2126,2428,1,2
149,4314,131,322,11,12,2127,2429,1,2
149,4315,131,322,11,12,2128,2430,1,2
149,4316,131,322,11,12,2129,2431,1,2
149,4317,131,322,11,12,2130,2432,1,2
149,4318,131,322,11,12,2131,2433,1,2
149,4319,131,322,11,12,2132,2434,1,2
149,4320,131,322,11,12,2133,2435,1,2
149,4321,131,322,11,12,2134,2436,1,2
149,4322,131,322,11,12,2135,2437,1,2
149,4323,131,322,11,12,2136,2438,1,2
149,4324,131,322,11,12,2137,2439,1,2
149,4325,131,322,11,12,2138,2440,1,2
149,4326,131,322,11,12,2139,2441,1,2
149,4327,131,322,11,12,2140,2442,1,2
149,4328,131,322,11,12,2141,2443,1,2
149,4329,131,322,11,12,2142,2444,1,2
150,4330,134,43,11,12,2143,2445,1,2
149,4331,131,322,11,12,2144,2446,1,2
149,4332,131,322,11,12,2145,2447,1,2
149,4333,131,322,11,12,2146,2448,1,2
149,4334,131,322,11,12,2147,2449,1,2
149,4335,131,322,11,12,2148,2450,1,2
322,4336,131,322,11,12,2149,2451,1,2
149,4337,131,322,11,12,2150,2452,1,2
149,4338,131,322,11,12,2151,2453,1,2
149,4339,131,322,11,12,2152,2454,1,2
149,4340,131,322,11,12,2153,2455,1,2
322,4341,131,322,11,12,2154,2456,1,2
149,4342,131,322,11,12,2155,2457,1,2
149,4343,131,322,11,12,2156,2458,1,2
149,4344,131,322,11,12,2157,2459,1,2
149,4345,131,322,11,12,2158,2460,1,2
322,4346,131,322,11,12,2159,2461,1,2
149,4347,131,322,11,12,2160,2462,1,2
149,4348,131,322,11,12,2161,2463,1,2
149,4349,131,322,11,12,2162,2464,1,2
149,4350,131,322,11,12,2163,2465,1,2
149,4351,131,322,11,12,2164,2466,1,2
149,4352,131,322,11,12,2165,2467,1,2
149,4353,131,322,11,12,2166,2468,1,2
149,4354,131,322,11,12,2167,2469,1,2
149,4355,131,322,11,12,2168,2470,1,2
149,4356,131,322,11,12,2169,2471,1,2
149,4357,131,322,11,12,2170,2472,1,2
149,4358,131,322,11,12,2171,2473,1,2
150,4359,132,323,11,12,2172,2474,1,2
149,4360,131,322,11,12,2173,2475,1,2
149,4361,131,322,11,12,2174,2476,1,2
149,4362,131,322,11,12,2175,2477,1,2
149,4363,131,322,11,12,2176,2478,1,2
149,4364,131,322,11,12,2177,2479,1,2
149,4365,131,322,11,12,2178,2480,1,2
150,4366,132,323,11,12,2179,2481,1,2
149,4367,131,322,11,12,2180,2482,1,2
149,4368,131,322,11,12,2181,2483,1,2
149,4369,131,322,11,12,2182,2484,1,2
149,4370,131,322,11,12,2183,2485,1,2
149,4371,131,322,11,12,2184,2486,1,2
149,4372,131,322,11,12,2185,2487,1,2
149,4373,131,322,11,12,2186,2488,1,2
149,4374,131,322,11,12,2187,2489,1,2
149,4375,131,322,11,12,2188,2490,1,2
149,4376,131,322,11,12,2189,2491,1,2
322,4377,131,322,11,12,2190,2492,1,2
149,4378,131,322,11,12,2191,2493,1,2
149,4379,131,322,11,12,2192,2494,1,2
149,4380,131,322,11,12,2193,2495,1,2
149,4381,131,322,11,12,2194,2496,1,2
149,4382,131,322,11,12,2195,2497,1,2
149,4383,131,322,11,12,2196,2498,1,2
149,4384,131,322,11,12,2197,2499,1,2
149,4385,131,322,11,12,2198,2500,1,2
149,4386,131,322,11,12,2199,2501,1,2
149,4387,131,322,11,12,2200,2502,1,2
149,4388,131,322,11,12,2201,2503,1,2
322,4389,131,322,11,12,2202,2504,1,2
149,4390,131,322,11,12,2203,2505,1,2
149,4391,131,322,11,12,2204,2506,1,2
149,4392,131,322,11,12,2205,2507,1,2
149,4393,131,322,11,12,2206,2508,1,2
149,4394,131,322,11,12,2207,2509,1,2
149,4395,131,322,11,12,2208,2510,1,2
149,4396,131,322,11,12,2209,2511,1,2
149,4397,131,322,11,12,2210,2512,1,2
149,4398,131,322,11,12,2211,2513,1,2
149,4399,131,322,11,12,2212,2514,1,2
149,4400,131,322,11,12,2213,2515,1,2
149,4401,131,322,11,12,2214,2516,1,2
149,4402,131,322,11,12,2215,2517,1,2
149,4403,131,322,11,12,2216,2518,1,2
149,4404,131,322,11,12,2217,2519,1,2
149,4405,131,322,11,12,2218,2520,1,2
149,4406,131,322,11,12,2219,2521,1,2
149,4407,131,322,11,12,2220,2522,1,2
149,4408,131,322,11,12,2221,2523,1,2
149,4409,131,322,11,12,2222,2524,1,2
149,4410,131,322,11,12,2223,2525,1,2
149,4411,131,322,11,12,2224,2526,1,2
149,4412,131,322,11,12,2225,2527,1,2
149,4413,131,322,11,12,2226,2528,1,2
149,4414,131,322,11,12,2227,2529,1,2
149,4415,131,322,11,12,2228,2530,1,2
149,4416,131,322,11,12,2229,2531,1,2
322,4417,131,322,11,12,2230,2532,1,2
322,4418,131,322,11,12,2231,2533,1,2
149,4419,131,322,11,12,2232,2534,1,2
149,4420,131,322,11,12,2233,2535,1,2
322,4421,131,322,11,12,2234,2536,1,2
149,4422,131,322,11,12,2235,2537,1,2
149,4423,131,322,11,12,2236,2538,1,2
149,4424,131,322,11,12,2237,2539,1,2
149,4425,131,322,11,12,2238,2540,1,2
149,4426,131,322,11,12,2239,2541,1,2
149,4427,131,322,11,12,2240,2542,1,2
149,4428,131,322,11,12,2241,2543,1,2
149,4429,131,322,11,12,2242,2544,1,2
149,4430,131,322,11,12,2243,2545,1,2
149,4431,131,322,11,12,2244,2546,1,2
149,4432,131,322,11,12,2245,2547,1,2
149,4433,131,322,11,12,2246,2548,1,2
149,4434,131,322,11,12,2247,2549,1,2
149,4435,131,322,11,12,2248,2550,1,2
322,4436,131,322,11,12,2249,2551,1,2
149,4437,131,322,11,12,2250,2552,1,2
149,4438,131,322,11,12,2251,2553,1,2
149,4439,131,322,11,12,2252,2554,1,2
149,4440,131,322,11,12,2253,2555,1,2
149,4441,131,322,11,12,2254,2556,1,2
149,4442,131,322,11,12,2255,2557,1,2
149,4443,131,322,11,12,2256,2558,1,2
149,4444,131,322,11,12,2257,2559,1,2
149,4445,131,322,11,12,2258,2560,1,2
322,4446,131,322,11,12,2259,2561,1,2
149,4447,131,322,11,12,2260,2562,1,2
149,4448,131,322,11,12,2261,2563,1,2
149,4449,131,322,11,12,2262,2564,1,2
322,4450,131,322,11,12,2263,2565,1,2
322,4451,131,322,11,12,2264,2566,1,2
149,4452,131,322,11,12,2265,2567,1,2
149,4453,131,322,11,12,2266,2568,1,2
149,4454,131,322,11,12,2267,2569,1,2
149,4455,131,322,11,12,2268,2570,1,2
149,4456,131,322,11,12,2269,2571,1,2
149,4457,131,322,11,12,2270,2572,1,2
322,4458,131,322,11,12,2271,2573,1,2
149,4459,131,322,11,12,2272,2574,1,2
149,4460,131,322,11,12,2273,2575,1,2
149,4461,131,322,11,12,2274,2576,1,2
149,4462,131,322,11,12,2275,2577,1,2
149,4463,131,322,11,12,2276,2578,1,2
149,4464,131,322,11,12,2277,2579,1,2
149,4465,131,322,11,12,2278,2580,1,2
149,4466,131,322,11,12,2279,2581,1,2
149,4467,131,322,11,12,2280,2582,1,2
149,4468,131,322,11,12,2281,2583,1,2
149,4469,131,322,11,12,2282,2584,1,2
149,4470,131,322,11,12,2283,2585,1,2
149,4471,131,322,11,12,2284,2586,1,2
149,4472,131,322,11,12,2285,2587,1,2
149,4473,131,322,11,12,2286,2588,1,2
149,4474,131,322,11,12,2287,2589,1,2
153,4475,135,326,11,12,2288,2590,1,2
149,4476,131,322,11,12,2289,2591,1,2
149,4477,131,322,11,12,2290,2592,1,2
149,4478,131,322,11,12,2291,2593,1,2
149,4479,131,322,11,12,2292,2594,1,2
322,4480,131,322,11,12,2293,2595,1,2
149,4481,131,322,11,12,2294,2596,1,2
149,4482,131,322,11,12,2295,2597,1,2
149,4483,131,322,11,12,2296,2598,1,2
149,4484,131,322,11,12,2297,2599,1,2
149,4485,131,322,11,12,2298,2600,1,2
149,4486,131,322,11,12,2299,2601,1,2
149,4487,131,322,11,12,2300,2602,1,2
322,4488,131,322,11,12,2301,2603,1,2
322,4489,131,322,11,12,2302,2604,1,2
149,4490,131,322,11,12,2303,2605,1,2
149,4491,131,322,11,12,2304,2606,1,2
149,4492,131,322,11,12,2305,2607,1,2
149,4493,131,322,11,12,2306,2608,1,2
149,4494,131,322,11,12,2307,2609,1,2
149,4495,131,322,11,12,2308,2610,1,2
149,4496,131,322,11,12,2309,2611,1,2
149,4497,131,322,11,12,2310,2612,1,2
322,4498,131,322,11,12,2311,2613,1,2
149,4499,131,322,11,12,2312,2614,1,2
322,4500,131,322,11,12,2313,2615,1,2
149,4501,131,322,11,12,2314,2616,1,2
149,4502,131,322,11,12,2315,2617,1,2
149,4503,131,322,11,12,2316,2618,1,2
149,4504,131,322,11,12,2317,2619,1,2
149,4505,131,322,11,12,2318,2620,1,2
149,4506,131,322,11,12,2319,2621,1,2
149,4507,131,322,11,12,2320,2622,1,2
149,4508,131,322,11,12,2321,2623,1,2
