ShiftRepNr_TillNo_1,StoreID,DayRepNr,ShiftRepNr_TillNo_2
5131,0313,1352,null
2644,0327,1326,286
4913,0370,1305,1175
2518,0389,1151,1258
5029,0399,1198,2516
1513,0419,1328,731
3316,0437,1172,875
4722,0462,1172,235
4688,0463,1252,1471
2802,0467,1366,1202
4333,0477,1450,1422
4787,0483,1194,1269
3332,0539,1199,1953
2509,0542,1347,1472
3512,0558,1256,2424
5517,0565,1395,2047
4387,0575,1245,243
3082,0579,1507,1451
3692,0604,1186,365
3875,0621,1276,2204
5489,0675,1332,619
4588,0677,1199,2315
4051,0719,1325,1489
5362,0720,1332,1140
5837,0854,1359,223
2807,0862,1348,1484
5118,0908,1254,2378
4987,0909,1256,638
4620,0975,1425,1624
5086,1002,1244,287
5302,1040,1311,1537
4560,1086,1135,74
2491,1117,1149,801
4675,1122,1149,1412
3987,1125,983,1869
4878,1136,1243,1277
4525,1153,1360,2003
4950,1210,1284,1392
2001,1232,1366,1108
4619,1243,1332,223
2903,1266,1445,2295
5282,1311,1269,507
4632,1315,1136,2249
5121,1439,1133,1461
2336,1856,1142,1760
4044,1882,1183,2081
1746,2015,1172,690
2163,2019,1248,1881
8,2231,1197,910
5381,2272,1317,1275
4621,2286,1138,1947
4379,2299,1152,999
5662,2321,1381,1613
4946,2325,1239,1275
4925,2339,1229,1343
4464,2343,1180,1279
4890,2378,1225,1018
1317,2390,1170,52
3962,2391,1269,1508
1751,2433,1130,623
2446,2439,1440,1817
4764,2464,1181,1622
2116,2467,1140,201
5108,2472,1255,1335
4957,2501,1249,180
4829,2508,1329,1384
1840,2516,1333,1343
4964,2519,1382,1445
3072,2608,1190,2372
1318,2941,459,1107
3059,2942,777,197
1416,2944,773,830
2288,2947,758,808
2804,2949,771,391
1346,0361,1248,891
4731,0368,1194,654
3705,0378,1263,1117
1720,0390,1407,223
2500,0411,1154,1576
1412,0416,1131,1229
4596,0441,1154,714
5048,0446,1252,808
4935,0474,1250,1698
4573,0487,1082,1104
2105,0511,1248,223
5104,0585,1263,437
4318,0589,1146,1165
4966,0603,1313,2099
1424,0639,1196,428
4691,0672,1176,464
5461,0683,1382,432
2587,0684,1344,223
4530,0685,1128,2191
5640,0694,1271,716
5565,0714,1358,223
4568,0723,1192,747
3238,0781,1234,336
5523,0786,1394,223
1809,0826,1269,1405
4842,0892,1226,1342
5182,0971,1283,1334
2031,0976,1390,223
5139,0977,1255,1858
5221,1011,1275,375
2121,1017,1248,1693
4142,1024,1029,2064
5215,1072,1258,163
4661,1112,1269,980
4618,1160,1145,1231
2942,1183,1178,1634
2100,1191,1173,1344
2211,1193,1152,1273
2387,1197,1333,1494
3900,1198,1018,504
4263,1204,1238,281
5055,1229,1244,1379
4905,1238,1194,3311
5271,1262,1284,650
6252,1333,1276,2516
5548,1376,1387,512
2845,1392,1368,187
4393,1497,1249,1284
5365,1737,1274,1200
5164,2269,1271,538
3735,2306,1365,273
5206,2324,1277,1783
2721,2346,1422,2232
5417,2348,1351,435
4320,2353,1130,2218
3821,2361,1198,1275
5757,2377,1356,782
4819,2419,1339,1786
1829,2426,1149,1025
2333,2459,1160,1105
4692,2482,1151,1291
4257,2491,1047,1158
2369,2525,1163,1957
1575,2531,1340,1475
3107,2644,773,467
3446,2945,783,897
2431,2948,753,223
3147,2950,759,1849
2803,2952,708,974
2521,2953,672,719
4775,0013,1183,869
2973,0299,1170,1246
4086,0334,1126,123
4762,0363,1182,1289
3194,0365,1382,1201
1601,0374,1396,223
2705,0385,1341,797
3888,0401,1242,1308
3428,0406,1158,61
5782,0409,1388,1312
5537,0431,1388,968
5032,0452,1193,677
4551,0471,1136,907
4203,0549,1191,2349
2414,0619,1361,1232
2126,0654,1134,1944
2541,0657,1361,832
1836,0734,1365,607
5691,0747,1381,686
5188,0756,1266,1479
5662,0916,1197,478
5278,0920,1315,2485
4853,0923,1179,2450
4637,0947,1251,223
4590,0959,1148,1343
3825,1016,1137,1369
2706,1033,1135,1159
5114,1071,1253,388
2711,1084,1318,286
4985,1098,1353,1438
2311,1121,1338,2189
3337,1137,1029,970
3905,1142,963,1257
5555,1149,1313,668
5428,1150,1383,353
5409,1184,1314,650
2122,1190,1073,117
4830,1194,1170,138
1818,1230,1355,1228
2069,1332,1333,1319
4409,1406,1175,295
3146,1509,1171,1389
3873,1889,1324,2325
4559,2023,1125,1727
4422,2034,1187,1246
943,2048,482,599
1221,2158,1313,2842
3344,2176,1149,1975
4699,2270,1268,1554
4947,2292,1124,2455
2837,2300,1397,2128
4775,2304,1144,1179
2296,2312,1172,1425
4967,2326,1224,1329
4705,2328,1243,1306
4632,2331,1134,958
2564,2335,1348,1438
4800,2340,1174,2667
1538,2366,1170,1309
2339,2397,1344,1499
5683,2414,1326,1982
2817,2415,1358,1077
5036,2417,1354,2039
1631,2422,1292,1398
4046,2437,1138,1553
1972,2441,1371,1570
5043,2458,1274,null
5149,2470,1246,937
4923,2481,1171,1280
4814,2486,1129,35
5754,2492,1413,324
4544,2505,1315,1448
4537,2523,1129,2368
4900,2627,1179,2115
66,3022,52,60
23,3023,17,223
